0 1,12,1 13.0546,6,13.0546 0.785398
1 1,12,1 12.3021,6,13.766 0.729298
2 1,12,1 11.5109,6,14.4342 0.673198
3 1,12,1 10.6834,6,15.0569 0.617099
4 1,12,1 9.82236,6,15.6322 0.560999
5 1,12,1 8.93041,6,16.1583 0.504899
6 1,12,1 8.01035,6,16.6337 0.448799
7 1,12,1 7.06509,6,17.0566 0.392699
8 1,12,1 6.0976,6,17.4259 0.336599
9 1,12,1 5.11093,6,17.7404 0.280499
10 1,12,1 4.10817,6,17.9991 0.2244
11 1,12,1 3.09249,6,18.2011 0.1683
12 1,12,1 2.06708,6,18.3459 0.1122
13 1,12,1 1.03517,6,18.4329 0.0560999
14 1,12,1 -8.06998e-07,6,18.462 0
15 1,12,1 -1.03517,6,18.4329 -0.0560998
16 1,12,1 -2.06708,6,18.3459 -0.1122
17 1,12,1 -3.0925,6,18.2011 -0.1683
18 1,12,1 -4.10818,6,17.9991 -0.2244
19 1,12,1 -5.11093,6,17.7404 -0.280499
20 1,12,1 -6.0976,6,17.4259 -0.336599
21 1,12,1 -7.06509,6,17.0566 -0.392699
22 1,12,1 -8.01035,6,16.6337 -0.448799
23 1,12,1 -8.93041,6,16.1583 -0.504899
24 1,12,1 -9.82236,6,15.6322 -0.560999
25 1,12,1 -10.6834,6,15.0569 -0.617099
26 1,12,1 -11.5109,6,14.4342 -0.673198
27 1,12,1 -12.3021,6,13.766 -0.729298
28 1,12,1 -13.0546,6,13.0546 -0.785398
29 0.9,5,0.99 -4.5,2.5,0 0
30 0.9,5,0.99 -4.5,2.5,1 0
31 0.9,5,0.99 -4.5,2.5,2 0
32 0.9,5,0.99 -4.5,2.5,3 0
33 0.9,5,0.99 -4.5,2.5,4 0
34 0.9,5,0.99 -4.5,2.5,5 0
35 0.9,5,0.99 -4.5,2.5,6 0
36 0.9,5,0.99 -4.5,2.5,7 0
37 0.9,5,0.99 -4.5,2.5,8 0
38 0.9,5,0.99 -4.5,2.5,9 0
39 0.9,5,0.99 -3.5,2.5,0 0
40 0.9,5,0.99 -3.5,2.5,1 0
41 0.9,5,0.99 -3.5,2.5,2 0
42 0.9,5,0.99 -3.5,2.5,3 0
43 0.9,5,0.99 -3.5,2.5,4 0
44 0.9,5,0.99 -3.5,2.5,5 0
45 0.9,5,0.99 -3.5,2.5,6 0
46 0.9,5,0.99 -3.5,2.5,7 0
47 0.9,5,0.99 -3.5,2.5,8 0
48 0.9,5,0.99 -3.5,2.5,9 0
49 0.9,5,0.99 -2.5,3.84,0 0
50 0.9,5,0.99 -2.5,2.5,1 0
51 0.9,5,0.99 -2.5,2.5,2 0
52 0.9,5,0.99 -2.5,2.5,3 0
53 0.9,5,0.99 -2.5,2.5,4 0
54 0.9,5,0.99 -2.5,2.5,5 0
55 0.9,5,0.99 -2.5,2.5,6 0
56 0.9,5,0.99 -2.5,2.5,7 0
57 0.9,5,0.99 -2.5,2.5,8 0
58 0.9,5,0.99 -2.5,2.5,9 0
59 0.9,5,0.99 -1.5,2.96,0 0
60 0.9,5,0.99 -1.5,2.5,1 0
61 0.9,5,0.99 -1.5,2.5,2 0
62 0.9,5,0.99 -1.5,2.5,3 0
63 0.9,5,0.99 -1.5,2.5,4 0
64 0.9,5,0.99 -1.5,2.5,5 0
65 0.9,5,0.99 -1.5,2.5,6 0
66 0.9,5,0.99 -1.5,2.5,7 0
67 0.9,5,0.99 -1.5,2.5,8 0
68 0.9,5,0.99 -1.5,2.5,9 0
69 0.9,5,0.99 -0.5,2.5,0 0
70 0.9,5,0.99 -0.5,4.98,1 0
71 0.9,5,0.99 -0.5,2.5,2 0
72 0.9,5,0.99 -0.5,2.5,3 0
73 0.9,5,0.99 -0.5,2.5,4 0
74 0.9,5,0.99 -0.5,2.5,5 0
75 0.9,5,0.99 -0.5,3.4,6 0
76 0.9,5,0.99 -0.5,2.5,7 0
77 0.9,5,0.99 -0.5,2.5,8 0
